cluster 1,cluster 2,without special schools
1.333333333,0,34.1361055
1.538461538,0,38.70788145
1.666666667,0,42.48648023
2.56466379,1.5625,43.1869958
3.37962963,1.785714286,43.61238085
3.954081633,2.222222222,43.91586985
4.047619048,2.223102101,44.26623441
4.588929589,2.398989899,44.40755533
5.113636364,2.592592593,44.44692525
5.151515152,2.73875408,45.0315612
6.319444444,2.777777778,46.29997551
6.944444444,2.836538462,46.3945785
7.040816327,3.538461538,47.7281794
7.637732638,3.818181818,47.74468047
7.86996904,4.293636647,47.93085259
8.095238095,4.498936736,48.22446698
9.455782313,4.591503268,48.260044
9.518806548,4.768089054,48.80417872
10.26295133,4.938271605,48.98590397
10.48484848,5.255102041,48.98800354
10.55555556,6.10042735,49.20822879
10.67358567,6.197569703,49.61969109
10.80586081,6.198753873,50.39085528
10.85034014,6.324404762,50.59537339
11.48145333,6.644570707,50.72722121
11.66666667,6.666666667,50.78711505
13.01587302,7.31962482,51.47341796
13.78787879,7.426081544,51.69719225
13.93939394,7.454545455,51.85269129
13.94660895,7.5,51.85940301
14.15598291,7.596724263,51.90884455
14.2834596,7.638888889,51.95313555
15.46468829,7.714285714,52.19363262
16.00890964,8.814333814,52.23320289
16.05237154,9.285714286,52.25155009
16.37648066,9.433994846,52.34901975
16.55518395,9.523809524,52.35987312
16.59358289,9.686317509,52.36641532
18.17442974,10.41666667,52.37967174
18.60772768,10.43448121,52.40283997
19.39102564,10.72562358,52.52627444
23.90473361,10.79907747,52.53438097
24.52876984,11.08663162,52.93219353
25.70861678,11.47186147,52.97175593
27.3015873,11.47306397,53.09732474
29.81684982,11.99790148,53.24497068
31.18725719,13.23043185,53.34469905
34.57625099,13.8548951,53.43803649
36.56188202,14.11210317,53.44676505
38.82348185,14.37340418,53.64816406
39.18776662,14.6043771,53.66946288
40.19004043,14.72676671,53.705201
40.64602885,15.13671786,53.73769306
40.74211778,15.52315664,53.76760858
40.90697322,15.67314426,53.92719135
41.82120254,16.05519481,53.98029553
41.89333657,16.83551198,54.16320342
41.9064298,16.88311688,54.18641197
41.91326162,17.5511063,54.20317232
42.41544505,18.19047619,54.26495952
43.0513468,19.34515777,54.3206294
43.0530543,19.91444075,54.42963027
43.14097099,20.46396958,54.43864468
43.28156491,20.76530612,54.44883495
43.53695839,21,54.53155311
43.64097566,21.5157174,54.6138594
43.78598927,21.6971917,54.63063612
43.82221952,22.01379517,54.73364733
44.09708801,22.214809,54.89218788
44.18033309,22.47164385,54.94333457
44.58001205,23.01476812,54.99136312
44.91918998,24.32252932,55.11175772
45.12799788,24.56349206,55.14700108
45.27586996,24.91496599,55.30453509
45.48260595,26.09347542,55.30637959
45.91922362,26.94140282,55.30908263
46.06216598,27.58367994,55.33791806
46.0964522,29.64762336,55.40746952
46.29975641,30.79951639,55.55728173
46.71820685,31.87229437,55.84706905
46.7214546,32.08874459,56.10218325
47.16175726,33.54462997,56.11379217
47.22449597,34.1361055,56.31848974
47.45502815,36.84807256,56.40714731
47.47438824,37.26325758,56.40785128
47.85858547,37.59920635,56.41105266
47.945831,37.73809524,56.54067881
47.97659143,38.70788145,56.59961311
48.16428773,42.48648023,56.86383541
48.22427525,43.1869958,56.97104015
48.23741714,43.61238085,56.98671562
48.24776814,43.6342695,57.07481977
48.36034452,43.91586985,57.09051167
48.40628296,44.22222222,57.09827872
48.5565934,44.26623441,57.11232435
48.70795428,44.40755533,57.21547394
48.75031235,44.44692525,57.2598131
48.86262704,45.0315612,57.28400903
48.97319685,45.23791718,57.35819471
49.07602276,46.29997551,57.36486927
49.12680194,46.3945785,57.58956617
49.14920181,47.7281794,57.60328992
49.1711567,47.74468047,57.61792915
49.26417901,47.93085259,57.64556255
49.30436832,48.22446698,57.66544766
49.35053533,48.260044,57.73325634
49.51531863,48.80417872,57.74055223
49.79719847,48.98590397,57.74433232
50.04321696,48.98800354,57.74609546
50.05655418,49.20822879,57.75005836
50.37686262,49.61969109,57.94683532
50.428107,50.39085528,58.02309686
50.56241283,50.59537339,58.02827414
50.76039445,50.72722121,58.15681534
50.85214333,50.78711505,58.24514209
50.94738101,51.47341796,58.27691927
50.97216492,51.69719225,58.31841961
51.00540216,51.85269129,58.33769459
51.0717092,51.85940301,58.36109681
51.14945559,51.90884455,58.45241565
51.16252314,51.95313555,58.47660695
51.3541077,52.19363262,58.49028092
51.37222713,52.23320289,58.53224726
51.50410447,52.25155009,58.53839227
51.51778004,52.34901975,58.55862521
51.58665107,52.35987312,58.66739334
51.64815934,52.36641532,58.80234449
51.7875595,52.37967174,58.8322335
51.78906319,52.40283997,58.86872011
51.92637543,52.52627444,58.94571751
51.97551229,52.53438097,58.96050497
52.03256859,52.93219353,59.0536846
52.13139289,52.97175593,59.11885456
52.21514035,53.09732474,59.14288583
52.29152209,53.24497068,59.18596898
52.31597545,53.34469905,59.22038933
52.45710435,53.43803649,59.24778787
52.75898013,53.44676505,59.25848707
52.7748269,53.64816406,59.30920688
52.80480723,53.66946288,59.39684655
52.91746811,53.705201,59.46619413
52.94416984,53.73769306,59.47889041
53.02681802,53.76760858,59.50704489
53.04320147,53.92719135,59.50849628
53.05897774,53.98029553,59.59122851
53.13315439,54.16320342,59.60888181
53.24393161,54.18641197,59.70055659
53.31905583,54.20317232,59.70810347
53.34507652,54.26495952,59.76160591
53.34792817,54.3206294,59.7775
53.35043266,54.42963027,59.81381638
53.35921939,54.43864468,59.84919198
53.43229869,54.44883495,59.90872036
53.66295044,54.53155311,59.98670994
53.68462864,54.6138594,59.98921587
53.68880819,54.63063612,59.99613187
53.7207055,54.73364733,59.99800008
53.74118847,54.89218788,60.00103679
53.83326767,54.94333457,60.06682511
53.86470735,54.99136312,60.08969366
53.90614901,55.11175772,60.1389932
54.21042097,55.14700108,60.21719845
54.30930572,55.30453509,60.22630476
54.33751264,55.30637959,60.2365559
54.3503805,55.30908263,60.25938991
54.40350526,55.33791806,60.30321817
54.48582424,55.40746952,60.3106331
54.4969968,55.55728173,60.3736925
54.5681613,55.84706905,60.42637375
54.67113653,56.10218325,60.46248786
54.68011464,56.11379217,60.46683614
54.75915728,56.27172345,60.50327805
54.79163799,56.31848974,60.514627
54.94864264,56.40714731,60.795139
54.96234889,56.40785128,60.82564855
54.98031896,56.41105266,60.82614969
55.00090151,56.54067881,60.89940343
55.00546622,56.59961311,60.93009143
55.02825156,56.86383541,60.94703891
55.07463638,56.97104015,60.97040007
55.2046223,56.98671562,61.05239454
55.25941655,57.07481977,61.08843692
55.31176596,57.09051167,61.15875316
55.31952421,57.09827872,61.19199487
55.34905307,57.11232435,61.23156316
55.35510468,57.21547394,61.25388328
55.35693258,57.2598131,61.27024641
55.37801413,57.28400903,61.46025116
55.38831962,57.35819471,61.54293342
55.45001197,57.36486927,61.56118522
55.52161343,57.58956617,61.6015838
55.54201509,57.60328992,61.62183275
55.71498916,57.61792915,61.62194969
55.73028559,57.64556255,61.76917076
55.73596647,57.66544766,61.89779385
55.78515956,57.73325634,61.92850864
55.80248772,57.74055223,62.10380577
55.81491554,57.74433232,62.17040323
55.81663136,57.74609546,62.1876805
55.91062458,57.75005836,62.18813594
55.91626574,57.94683532,62.20993893
55.94428892,58.02309686,62.22223439
55.99360106,58.02827414,62.26677504
56.05791184,58.15681534,62.28469205
56.148248,58.24514209,62.28718362
56.16676867,58.27691927,62.28854623
56.21964675,58.31841961,62.31410836
56.2943238,58.33769459,62.31478606
56.3422967,58.36109681,62.34187021
56.34997273,58.45241565,62.37818342
56.35858552,58.47660695,62.40411877
56.38894691,58.49028092,62.5048886
56.48198301,58.53224726,62.51012194
56.48687038,58.53839227,62.51538459
56.49742309,58.55862521,62.64419094
56.52719989,58.66739334,62.64741371
56.54762987,58.80234449,62.65822357
56.55284956,58.8322335,62.66992805
56.60028277,58.86872011,62.72144298
56.61987899,58.94571751,62.74332758
56.68147927,58.96050497,62.77167058
56.72038355,59.0536846,62.82977841
56.80969197,59.11885456,62.84745578
56.80995456,59.14288583,62.8647372
56.83398137,59.18596898,62.87185295
56.85027033,59.22038933,62.95887731
56.86375562,59.24778787,62.96489626
56.95190083,59.25848707,63.0119718
57.10726122,59.30920688,63.02796942
57.31108294,59.39684655,63.10797652
