GCSE Pass Average %,% split,% Rate of Absence,Gender
100,100,4.155555556,Girls
100,100,4.344444444,Girls
100,100,4.5,Girls
100,100,4.675,Girls
100,100,4.677777778,Girls
100,100,4.822222222,Girls
100,100,5.577777778,Girls
100,100,2.9,Boys
100,100,4,Boys
100,100,4.777777778,Boys
100,94.34324065,4.044444444,Boys
100,93.23374341,4.322222222,Boys
100,91.47169811,3.8,Boys
99.93861265,93.72093023,5.055555556,Boys
99.93792675,100,4.811111111,Girls
99.93757803,95.53072626,4.866666667,Girls
99.93131868,100,5.575,Girls
99.92967651,90.88748019,5.255555556,Girls
99.92592593,95.6780924,3.533333333,Girls
99.91319444,90.12658228,4.966666667,Girls
99.91319444,100,3.288888889,Boys
99.90636704,100,3.822222222,Girls
99.90530303,96.90721649,4.8,Girls
99.90253411,100,3.311111111,Girls
99.89392674,100,4.611111111,Girls
99.89212513,100,4.466666667,Girls
99.87922705,93.34795322,5.155555556,Boys
99.87922349,100,5.155555556,Boys
99.86132644,100,4,Boys
99.86067026,100,4.155555556,Boys
99.85929122,100,3.766666667,Girls
99.85754986,98.18181818,4.777777778,Boys
99.84984985,96.18380062,4.688888889,Boys
99.83551198,100,3.7,Girls
99.83485124,100,4.433333333,Girls
99.82428685,100,4.355555556,Girls
99.81735023,100,5.522222222,Girls
99.81537769,100,5.022222222,Boys
99.81442506,90.85820896,4.433333333,Boys
99.8015873,100,3.955555556,Girls
99.79879452,100,5.6,Girls
99.79121588,96.8980021,5.244444444,Girls
99.79040521,94.19504644,3.455555556,Boys
99.77006435,100,5.055555556,Girls
99.75602521,95.83333333,3.82,Girls
99.7419623,99.06063194,3.988888889,Girls
99.7410737,92.49823071,4.266666667,Boys
99.73299746,98.83474576,4.833333333,Girls
99.73258507,97.48908297,4.288888889,Girls
99.72066604,100,5.044444444,Girls
99.69347277,93.86437029,4.722222222,Girls
99.68608539,93.29341317,3.388888889,Girls
99.68547027,93.06282723,4.011111111,Boys
99.66269303,100,5.311111111,Boys
99.65856115,97.03849951,4.766666667,Girls
99.60913868,100,5.244444444,Girls
99.57393873,96.38336347,4.822222222,Girls
99.56821111,90.79965606,4.122222222,Girls
99.55710101,94.50056117,5.1,Girls
99.50112873,97.62917933,3.355555556,Girls
99.46072852,93.21766562,4.333333333,Boys
99.43040869,100,5.066666667,Boys
99.42912433,100,8.185714286,Girls
99.41488113,93.93382353,4.833333333,Boys
99.40210856,94.34628975,5.322222222,Boys
99.36592317,100,5.344444444,Boys
99.35165755,91.85317816,4.711111111,Boys
99.35107376,100,4.477777778,Boys
99.33154362,96.64750958,5.14,Boys
99.33112784,100,4.577777778,Girls
99.32238537,100,5.411111111,Boys
99.29180274,96.55364091,5.411111111,Boys
99.29042709,100,4.877777778,Girls
99.23636363,100,3.988888889,Girls
99.19780067,97.05197828,4.888888889,Boys
99.16652931,95.1433121,5.488888889,Girls
99.14135947,94.426442,4.644444444,Girls
99.05543445,94.81946625,5.455555556,Girls
98.97126292,98.06070826,4.177777778,Girls
98.95947669,90.48811014,5.033333333,Boys
98.94272161,100,4.888888889,Girls
98.92660761,100,4.422222222,Boys
98.90168137,92.81585467,5.811111111,Boys
98.82207941,92.96718017,4.888888889,Boys
98.80611789,99.6031746,5.277777778,Girls
98.63889367,92.06030151,5.144444444,Boys
98.62568092,99.60435213,4.866666667,Girls
98.59052864,96.57342657,8.122222222,Girls
98.53411593,95.19945909,4.577777778,Boys
98.50991516,96.84210526,4.622222222,Girls
98.27463155,98.89624724,5.344444444,Girls
98.15868728,100,4,Boys
97.88858259,100,4.333333333,Girls
97.83041062,96.76724138,4.133333333,Boys
97.56578594,100,5.811111111,Girls
97.17987134,96.90366972,5.5,Girls
97.05000465,96.07843137,5.122222222,Girls
96.92649863,97.36575481,4.455555556,Girls
96.74329767,98.20675105,5.044444444,Girls
96.68821562,97.33036707,5.1,Boys
96.44494067,98.67788462,4.544444444,Girls
96.33183183,96.23992838,4.033333333,Boys
96.09123233,100,5.055555556,Boys
95.50718012,100,5.811111111,Boys
95.20393146,100,2.685714286,Girls
95.10244279,100,4.375,Boys
94.57142857,100,4.166666667,Boys
94.41643503,91.99084668,4.744444444,Boys
93.03847516,90.84406295,5.144444444,Boys
92.90541144,100,5.411111111,Girls
92.5890106,100,2.377777778,Boys
92.47650124,100,5.311111111,Girls
91.43662628,97.94168096,5.655555556,Girls
91.37014907,90.13793103,5.0625,Girls
91.33250667,96.38218924,4.822222222,Boys
91.2104355,100,4.744444444,Boys
90.76411603,93.93203883,4.833333333,Boys
90.56803067,99.2434663,5.522222222,Girls
90.49732732,100,5.25,Girls
90.23785135,98.8153998,5,Girls
90.10471517,100,5.077777778,Girls
89.60997103,92.53355705,4.9,Boys
89.51609502,100,5.622222222,Boys
89.51223005,98.49823322,3.655555556,Girls
89.07342592,100,4.877777778,Girls
88.84909613,100,5.355555556,Girls
88.84113861,94.29280397,5.433333333,Boys
88.50408803,93.59236537,4.744444444,Girls
88.17883352,100,5.388888889,Boys
87.79590253,100,4.844444444,Girls
87.77630957,100,5,Girls
87.76708205,100,5.244444444,Girls
87.69238347,100,4.1625,Girls
87.5758702,100,5.522222222,Girls
87.49312536,99.11851126,4.855555556,Girls
87.47544911,100,4.844444444,Girls
87.09151661,94.95726496,6,Girls
86.98127219,99.13978495,6.466666667,Girls
86.95602264,100,3.2125,Boys
86.9267108,91.0923277,5.844444444,Girls
86.75375154,100,3.475,Girls
86.73959157,100,5.922222222,Girls
86.56845437,95.38274605,5.455555556,Boys
86.5652399,100,5.366666667,Boys
86.3727301,94.66900996,5.588888889,Girls
86.33100728,97.95728877,5.533333333,Girls
86.31744661,92.85083848,4.988888889,Boys
86.26544802,100,4.222222222,Girls
86.09640471,100,5.122222222,Boys
85.82021292,100,4.277777778,Girls
85.65525537,91.98919892,4.511111111,Boys
85.60495247,100,4.55,Girls
85.05148111,100,5.888888889,Girls
85.04546206,96.9895288,5.633333333,Girls
84.99858772,100,4.366666667,Boys
84.96785656,100,7.5,Girls
84.55219145,100,5.911111111,Girls
84.4708557,100,4.922222222,Girls
84.44117606,100,5.677777778,Girls
84.42472089,98.6122449,5.733333333,Girls
83.97644601,100,3.822222222,Girls
83.53050048,91.53405474,4.944444444,Girls
83.28268128,100,3.744444444,Girls
83.24015409,100,5.255555556,Boys
83.22010998,97.56097561,5.6,Boys
83.1948901,100,3.911111111,Girls
83.1743492,92.62023217,4.822222222,Boys
83.02258662,98.82179676,4.633333333,Girls
82.94474683,96.26417612,4.888888889,Boys
82.76620393,99.37759336,5.866666667,Boys
82.57113817,90.21237304,5.488888889,Girls
82.31253441,99.36305732,5.577777778,Girls
82.18938341,100,5.744444444,Girls
81.88073347,91.58291457,5.2,Boys
81.81113269,100,5.911111111,Girls
81.77277625,93.59073359,3.7,Girls
81.27088576,100,5.311111111,Girls
80.80003406,100,5.755555556,Girls
80.77064694,99.27007299,5.366666667,Girls
80.69550288,100,5.455555556,Girls
80.62658403,100,5.577777778,Girls
80.47101958,95.5955956,5.188888889,Boys
80.46405936,100,7.322222222,Boys
