Ofsted Average,Number of Pupils,% Rate of Absence,% FSM,GCSE Pass Average %
2.333333333,909,7.644444444,46.56363636,68.54910377
1.5,1229,5.944444444,29.10909091,76.50127348
2,1086,7.733333333,49.96363636,64.00297571
2,1228,6.244444444,28.86363636,69.12827732
2.666666667,1218,7.033333333,28.61818182,71.01984224
1.5,1076,4.211111111,16.54545455,89.95224162
2,812,5.644444444,39.15454545,64.0079435
2.333333333,817,7.133333333,30.91818182,76.33882265
2,586,6.377777778,20.81818182,77.34461328
1.5,1304,5.066666667,17.07272727,69.42121689
2.5,1454,7.288888889,24.11818182,59.90872036
2,2066,7.111111111,19.05454545,65.03322302
1.666666667,549,4.922222222,12.06363636,84.4708557
2,1647,5.855555556,23.71818182,76.87048716
2,499,5.311111111,30.24545455,69.67864652
2,803,6.277777778,58.54545455,54.20317232
1.5,729,6.766666667,43.02727273,74.88380083
1,880,6.1,40.45454545,75.75039096
1.5,1133,4.988888889,31.7,86.31744661
1.5,846,7.822222222,32.61818182,71.96936468
2,1069,5.188888889,22.98181818,63.77699046
1,836,5.544444444,34.8,70.11275351
2.333333333,594,5.3,32.87272727,64.77236401
1,1219,4.844444444,18.66363636,79.37217242
1.5,1179,3.455555556,12.10909091,84.74831429
2.75,881,5.822222222,30.80909091,60.94703891
2,1507,6.055555556,17.2,70.97907488
2.5,1072,6.088888889,18.55454545,68.78588145
2,600,5.866666667,30.40909091,62.84745578
2.333333333,1051,4.822222222,20.17272727,71.46179523
1.5,660,4.411111111,24.72727273,79.89500231
1.666666667,1111,4.511111111,27.03636364,85.65525537
2,1173,5.044444444,37.7,69.12925805
2.333333333,1061,5.722222222,54.56363636,66.14081359
1.5,1513,5.888888889,38.9,76.33674469
2,880,6.066666667,43.96363636,77.02019804
1,1281,3.722222222,49.54545455,81.33338627
2,1261,6.177777778,43.31818182,66.88774879
2,1541,4.911111111,43.46363636,73.50733586
2,1373,4.111111111,38.39090909,82.02551142
1.5,1011,6.722222222,35.85454545,75.49615491
1.5,2336,6.122222222,15.55454545,73.03253839
2.75,1198,7.777777778,29.48181818,53.98029553
2,2134,7.011111111,22.39090909,69.09912859
2,3129,6.288888889,21.32727273,71.26661916
1.5,1353,3.744444444,14.14545455,75.83395745
2,641,6.788888889,26.08181818,62.31410836
1,891,5.1,4.2,99.55710101
2,1192,4.9,7.8,89.60997103
2,1254,5.788888889,13.62727273,79.64976832
2,677,6.044444444,20.10909091,65.73291773
1,1085,3.866666667,1.390909091,100
2,784,5.788888889,14.63636364,70.52999709
2.666666667,564,6.866666667,28.31818182,56.97104015
2.5,631,6.944444444,23.92727273,66.75835453
2,1447,6.388888889,14.20909091,77.70231234
2,1445,5.366666667,21.17272727,71.0231214
1.333333333,1994,4.444444444,8.427272727,85.67728596
2,1589,5.888888889,26.08181818,69.76763591
1.5,2015,5.666666667,20.75454545,82.68315787
1.5,1290,6.744444444,22.82727273,74.71641136
2.5,858,8.022222222,24.3,61.6015838
2,1788,6.655555556,16.89090909,75.98964013
1.5,1015,5.866666667,17.90909091,77.62783665
2.5,966,7.333333333,21.4,58.80234449
2.5,612,7.422222222,22.47272727,64.00440142
1.5,1020,4.133333333,17.00909091,80.31959808
1.5,1374,3.5,4.190909091,99.82195333
2.666666667,539,6.777777778,23.63636364,60.97040007
2.5,999,5.188888889,14.54545455,80.47101958
2,663,6.811111111,25.26363636,73.29274728
2,1543,5.9,15.63636364,76.31881615
1.5,1765,6.333333333,6.518181818,84.47430896
1,1236,6.766666667,54.07272727,73.34999168
1,1739,4.211111111,17.69090909,75.58642017
2.75,1287,8.233333333,19.01818182,62.22223439
2.5,1368,8.544444444,24.04545455,60.89940343
1,1830,4.688888889,19.01818182,84.41017044
1,1236,4.833333333,11.00909091,90.76411603
1.5,1476,5.6,17.49090909,77.65366916
2.333333333,1190,6.322222222,26.76363636,69.16742505
1.5,1491,5.377777778,13.98181818,79.95716046
2,1258,5.366666667,10.69090909,86.5652399
1.5,1700,5.177777778,23.32727273,72.47649869
1,1295,3.7,19.83636364,81.77277625
1,1348,3.5,21.3,76.55346506
2.5,991,7.977777778,22.59090909,64.20606175
1.5,1126,4.477777778,6.390909091,99.35107376
2.5,1434,6.211111111,12.66363636,81.32726657
1.5,1245,5.044444444,5.590909091,99.72066604
1.5,2000,5.588888889,15.87272727,79.73019198
1,2192,4.966666667,13.88181818,88.18203766
1,1329,5.055555556,16.67272727,81.54152891
2,1845,7.4,25.47272727,66.92912549
1.333333333,1598,4.766666667,7.572727273,88.60536667
2.75,872,6.6,19.12727273,76.35679873
2,1037,6.555555556,13.38181818,79.79438774
2,1134,5.388888889,7.109090909,88.17883352
1.5,1408,4.277777778,9.209090909,85.82021292
2,1154,6.1,25.07272727,62.65822357
2.5,881,6.455555556,22.66363636,65.31734016
2,1116,7,20.2,67.98373958
2,1004,6.088888889,22.92727273,71.4905661
2.5,1029,5.955555556,17.98181818,73.57473791
1.5,890,5.455555556,17.16363636,80.69550288
2.5,1097,6.688888889,24.91818182,62.28854623
2,1211,5.611111111,15.58181818,71.21283495
2,749,5.955555556,24.52727273,71.48721236
2,783,6.422222222,39.81818182,73.2626399
2,965,6,30.33636364,63.54153247
1.5,900,5.511111111,24.11818182,75.66159248
1.5,804,6.166666667,40.78181818,65.74018675
1.5,664,5.288888889,22.50909091,77.13211761
2.5,1205,5.588888889,33.36363636,64.75219666
2,1159,6.288888889,44.04545455,59.60888181
2.5,1428,7.4,39.51818182,56.98671562
1.5,1046,4.222222222,18.6,86.26544802
2,620,5.922222222,35.66363636,59.50704489
2.666666667,778,6.422222222,44.46363636,55.40746952
2,1246,6.011111111,20.22727273,79.64512328
2.25,1184,8.322222222,30.48181818,59.99800008
2.333333333,1091,5.488888889,6.163636364,81.3336316
2.75,1138,6.455555556,15.93636364,66.18858357
2,947,6.566666667,2,91.43677843
2,1643,6.855555556,27.26363636,54.73364733
2,1178,6.277777778,25.36363636,62.95887731
2,1113,5.722222222,10.78181818,74.79191626
2.333333333,1461,6.522222222,23.53636364,58.49028092
3,843,7.1,41.22727273,53.76760858
2.5,1131,7.544444444,34.69090909,59.70810347
2.5,1000,7.555555556,39.79090909,63.41342501
2.6,1575,7.244444444,18.77272727,68.34731414
1.5,742,5.111111111,4.181818182,87.62698752
2.333333333,1009,6.444444444,17.51818182,65.4922214
2.333333333,1216,7.133333333,21.77272727,63.90024138
2.75,1324,6.844444444,22.39090909,64.79192817
1.666666667,1051,7.811111111,33.71818182,60.42637375
2.5,1159,7.455555556,20.70909091,62.18813594
2,1132,5.477777778,13.67272727,83.17222883
2,1498,8.011111111,25.70909091,64.86772453
2.5,876,8.577777778,33.36363636,61.19199487
2.25,1121,6.777777778,11.72727273,69.54335427
2.333333333,1037,6.588888889,18.10909091,72.354047
2.8,834,6.644444444,15.94545455,68.86444248
2.5,903,8.366666667,38.59090909,52.37967174
2,920,6.355555556,14.58181818,66.28547342
2.75,897,8.433333333,25.30909091,57.28400903
2.5,1119,5.322222222,19.06363636,74.58226814
