Number of Pupils,GCSE Pass Average %,% Rate of Absence
37,9.285714286,21.02222222
45,2.73875408,25.64444444
48,26.94140282,18.95555556
49,37.26325758,17.15555556
53,10.41666667,19.02222222
55,34.57625099,12.7125
59,8.095238095,25.2625
59,33.54462997,18.66666667
60,6.324404762,20.26666667
61,10.55555556,12.4
61,39.18776662,9.588888889
66,4.293636647,29.23333333
66,23.01476812,26.14444444
69,11.48145333,21.17142857
69,7.596724263,19.97777778
70,4.498936736,30.53333333
71,6.644570707,23.65555556
71,6.666666667,27.47777778
71,43.0513468,8.255555556
72,61.51556777,14.52222222
73,44.22222222,14.2
73,31.87229437,11.3
73,27.3015873,7.266666667
75,22.01379517,15.98888889
75,10.67358567,24.15
75,37.73809524,22.48888889
76,9.686317509,14.08888889
78,16.37648066,24.51111111
79,20.76530612,19.96666667
81,4.591503268,32.62222222
82,14.15598291,17.42222222
82,1.333333333,35.0125
82,7.86996904,19.58333333
83,13.94660895,24.5875
83,23.90473361,16.71428571
84,22.214809,21.18888889
84,10.26295133,21.42857143
85,15.67314426,20.71111111
85,25.70861678,19.11428571
85,9.455782313,32.35555556
87,14.72676671,24.63333333
88,20.46396958,21.7
89,7.040816327,15.725
89,11.66666667,33.53333333
90,6.10042735,18.1
91,43.6342695,6.855555556
92,36.84807256,10.88888889
95,1.538461538,25.21111111
99,10.79907747,17.33333333
99,13.78787879,34.9
99,4.047619048,13.7
100,15.13671786,17.44444444
101,5.113636364,28.61428571
103,18.19047619,32.96666667
106,2.592592593,7.066666667
107,60.46248786,7.688888889
109,13.8548951,28.85555556
110,7.5,17.9
110,29.64762336,13.8
110,10.72562358,7.7
111,7.31962482,23.64444444
113,11.47186147,15.61111111
113,6.944444444,25.48333333
114,13.93939394,12.525
115,1.785714286,10.41111111
116,5.151515152,23.7
117,3.37962963,19.25555556
118,10.43448121,15.82222222
118,16.59358289,22.21111111
118,3.538461538,7.433333333
119,14.2834596,17.6
121,75.17388434,7.875
122,18.60772768,15.75714286
123,16.83551198,15.66666667
124,32.08874459,6.911111111
126,13.01587302,22.2
127,14.6043771,11.87777778
127,86.05967742,6.155555556
128,24.91496599,21.1
128,37.59920635,9.688888889
128,9.433994846,23.65555556
131,14.37340418,8.288888889
131,6.198753873,31.44444444
135,69.16814798,9.885714286
137,58.15681534,7.488888889
137,10.85034014,18.57777778
137,6.319444444,18.75
138,0,17.26666667
138,70.37109433,10.3
139,15.46468829,10.38333333
141,9.518806548,26.27777778
143,10.48484848,26.52222222
145,49.12680194,15.67777778
146,52.34901975,8.066666667
153,21.6971917,8.055555556
153,0,11.54444444
159,56.27172345,5.955555556
160,11.47306397,14.1
160,14.11210317,22.36666667
161,2.222222222,16.11111111
164,19.34515777,8.966666667
164,1.666666667,8.8
167,11.08663162,24.15555556
171,3.954081633,7.8
172,4.938271605,5.755555556
173,4.588929589,23.7
178,84.28912799,6.1375
179,22.47164385,8.877777778
183,16.05519481,7.444444444
185,40.74211778,15.48888889
186,21,8.811111111
189,7.454545455,8.488888889
190,24.52876984,8.722222222
191,9.523809524,8.222222222
191,60.14083434,10.02
191,4.768089054,6.877777778
192,69.11926883,9.157142857
193,55.94428892,14.32857143
198,2.223102101,23.24444444
199,5.255102041,8.133333333
203,72.90326716,6.944444444
204,11.99790148,27.87777778
206,16.00890964,27.08571429
208,24.32252932,4.477777778
209,3.818181818,7.322222222
216,1.5625,8.911111111
217,0,12.63333333
219,7.714285714,9.044444444
222,24.56349206,7.722222222
224,29.81684982,7.655555556
224,75.20230314,7
234,16.05237154,7.455555556
238,64.74008632,9.444444444
239,27.58367994,10.36666667
240,52.03256859,9.344444444
241,80.46405936,7.322222222
241,45.23791718,9.266666667
242,66.52459239,6.244444444
242,7.638888889,7.366666667
251,45.27586996,8.844444444
253,62.11716692,8.516666667
253,61.04827349,9.166666667
253,70.30524939,6.177777778
254,58.02827414,10.3
257,7.637732638,6.455555556
257,50.56241283,8.033333333
264,40.64602885,12.67777778
267,63.94072377,8.044444444
274,19.39102564,7.211111111
275,30.79951639,10.37777778
282,66.10255552,9.7
285,84.96785656,7.5
286,78.16102397,7.444444444
289,10.80586081,7.04
290,73.1685637,9.285714286
294,19.91444075,7.033333333
294,68.77715495,7.366666667
296,51.92637543,12.16666667
305,46.29975641,10.7
308,15.52315664,11.75555556
315,44.58001205,8.733333333
322,63.51591569,9.471428571
324,31.18725719,8.66
325,21.5157174,12.77777778
325,41.82120254,8.9625
328,77.96848252,6.266666667
333,16.55518395,8.288888889
